id,restaurant_id,cashup_id,deposit_date,bank_name,account_number,deposit_amount,reference_number,status,created_at,updated_at
1,1,1,2025-01-01,HSBC,****5506,19236.74,DEP00000001,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
2,2,2,2025-01-01,Lloyds,****2679,17157.33,DEP00000002,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
3,3,3,2025-01-01,Barclays,****7912,17518.15,DEP00000003,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
4,4,4,2025-01-01,Barclays,****4582,18799.57,DEP00000004,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
5,5,5,2025-01-01,HSBC,****4257,17721.97,DEP00000005,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
6,6,6,2025-01-01,SBI,****4611,16444.53,DEP00000006,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
7,7,7,2025-01-01,HDFC Bank,****1106,16031.87,DEP00000007,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
8,8,8,2025-01-01,Lloyds,****7924,17226.94,DEP00000008,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
9,9,9,2025-01-01,Lloyds,****4527,19257.0,DEP00000009,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
10,10,10,2025-01-01,ICICI Bank,****2674,16654.64,DEP00000010,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
11,11,11,2025-01-01,Barclays,****6881,17129.54,DEP00000011,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
12,12,12,2025-01-01,HDFC Bank,****1711,15806.44,DEP00000012,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
13,13,13,2025-01-01,Barclays,****7201,17489.6,DEP00000013,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
14,14,14,2025-01-01,HDFC Bank,****6925,16932.6,DEP00000014,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
15,15,15,2025-01-01,Barclays,****1750,18858.34,DEP00000015,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
16,16,16,2025-01-01,HDFC Bank,****2307,15956.26,DEP00000016,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
17,17,17,2025-01-01,Barclays,****7227,17166.21,DEP00000017,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
18,18,18,2025-01-01,ICICI Bank,****3664,20945.13,DEP00000018,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
19,19,19,2025-01-01,NatWest,****5374,17710.67,DEP00000019,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
20,20,20,2025-01-01,Barclays,****3803,19268.84,DEP00000020,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
21,21,21,2025-01-01,NatWest,****3677,18156.23,DEP00000021,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
22,22,22,2025-01-01,HDFC Bank,****4598,14021.94,DEP00000022,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
23,23,23,2025-01-01,HSBC,****4752,14548.0,DEP00000023,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
24,24,24,2025-01-01,ICICI Bank,****7572,15506.79,DEP00000024,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
25,25,25,2025-01-01,NatWest,****6155,15834.5,DEP00000025,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
26,26,26,2025-01-01,Axis Bank,****7482,17117.75,DEP00000026,Deposited,2026-06-18 13:27:28.932358,2026-06-18 13:27:28.932358
