id,cashup_id,pdq_machine_id,cash_amount,card_amount,upi_amount,online_amount,total_amount
1,1,1,19243.13,21037.74,22259.15,11546.48,74086.5
2,1,2,19243.13,21037.74,22259.15,11546.48,74086.5
3,1,3,19243.13,21037.74,22259.15,11546.48,74086.5
4,2,4,17159.78,59975.27,19466.13,11583.39,108184.57
5,3,5,17524.92,64148.04,21967.22,11634.25,115274.43
6,4,6,18799.89,20691.95,21470.89,12322.86,73285.59
7,4,7,18799.89,20691.95,21470.89,12322.86,73285.59
8,4,8,18799.89,20691.95,21470.89,12322.86,73285.59
9,5,9,17724.3,33478.62,22346.04,11067.79,84616.75
10,5,10,17724.3,33478.62,22346.04,11067.79,84616.75
11,6,11,16451.69,65076.75,26335.18,12052.16,119915.78
12,7,12,16036.36,60924.08,20225.87,12493.74,109680.05
13,8,13,17234.53,21222.4,22454.02,11505.62,72416.57
14,8,14,17234.53,21222.4,22454.02,11505.62,72416.57
15,8,15,17234.53,21222.4,22454.02,11505.62,72416.57
16,9,16,19260.4,21231.63,26863.42,11130.91,78486.36
17,9,17,19260.4,21231.63,26863.42,11130.91,78486.36
18,9,18,19260.4,21231.63,26863.42,11130.91,78486.36
19,10,19,16664.21,28999.19,24492.69,11582.61,81738.7
20,10,20,16664.21,28999.19,24492.69,11582.61,81738.7
21,11,21,17130.47,61218.31,22687.42,10751.37,111787.57
22,12,22,15814.91,19393.89,21594.43,13195.73,69998.96
23,12,23,15814.91,19393.89,21594.43,13195.73,69998.96
24,12,24,15814.91,19393.89,21594.43,13195.73,69998.96
25,13,25,17496.9,58966.94,19683.6,11537.03,107684.47
26,14,26,16933.39,29019.96,21206.25,13218.92,80378.52
27,14,27,16933.39,29019.96,21206.25,13218.92,80378.52
28,15,28,18864.11,31897.54,22782.31,11784.99,85328.95
29,15,29,18864.11,31897.54,22782.31,11784.99,85328.95
30,16,30,15962.87,29378.78,22099.86,10394.64,77836.15
31,16,31,15962.87,29378.78,22099.86,10394.64,77836.15
32,17,32,17174.76,61056.43,22580.42,13328.73,114140.34
33,18,33,20947.91,20110.68,25202.7,11660.2,77921.49
34,18,34,20947.91,20110.68,25202.7,11660.2,77921.49
35,18,35,20947.91,20110.68,25202.7,11660.2,77921.49
36,19,36,17714.37,21260.57,20276.74,11317.0,70568.68
37,19,37,17714.37,21260.57,20276.74,11317.0,70568.68
38,19,38,17714.37,21260.57,20276.74,11317.0,70568.68
39,20,39,19275.86,21509.04,21499.91,11266.45,73551.26
40,20,40,19275.86,21509.04,21499.91,11266.45,73551.26
41,20,41,19275.86,21509.04,21499.91,11266.45,73551.26
42,21,42,18161.57,22211.3,22670.93,11851.21,74895.01
43,21,43,18161.57,22211.3,22670.93,11851.21,74895.01
44,21,44,18161.57,22211.3,22670.93,11851.21,74895.01
45,22,45,14026.56,63434.06,19762.31,9442.77,106665.7
46,23,46,14554.85,27903.49,18401.41,10293.55,71153.3
47,23,47,14554.85,27903.49,18401.41,10293.55,71153.3
48,24,48,15515.01,21116.05,23572.71,13733.64,73937.41
49,24,49,15515.01,21116.05,23572.71,13733.64,73937.41
50,24,50,15515.01,21116.05,23572.71,13733.64,73937.41
51,25,51,15837.18,29332.25,21748.12,9775.39,76692.94
52,25,52,15837.18,29332.25,21748.12,9775.39,76692.94
53,26,53,17119.88,19557.1,21645.7,9469.68,67792.36
54,26,54,17119.88,19557.1,21645.7,9469.68,67792.36
55,26,55,17119.88,19557.1,21645.7,9469.68,67792.36
56,27,56,16393.87,19422.17,22207.01,10127.07,68150.12
57,27,57,16393.87,19422.17,22207.01,10127.07,68150.12
58,27,58,16393.87,19422.17,22207.01,10127.07,68150.12
59,28,59,16908.27,31588.49,23010.01,11110.84,82617.61
60,28,60,16908.27,31588.49,23010.01,11110.84,82617.61
61,29,61,15123.56,61624.94,22685.2,11725.26,111158.96
62,30,62,15210.09,63105.92,21498.1,9477.97,109292.08
63,31,63,16705.78,58255.28,22489.48,10839.83,108290.37
64,32,64,16717.26,31404.93,19795.04,10144.82,78062.05
65,32,65,16717.26,31404.93,19795.04,10144.82,78062.05
66,33,66,15834.01,64163.4,24008.0,10669.19,114674.6
67,34,67,16436.96,19796.11,22262.14,11251.04,69746.25
68,34,68,16436.96,19796.11,22262.14,11251.04,69746.25
69,34,69,16436.96,19796.11,22262.14,11251.04,69746.25
70,35,70,15204.35,30021.85,21065.9,10826.29,77118.39
71,35,71,15204.35,30021.85,21065.9,10826.29,77118.39
72,36,72,17637.79,31450.35,23687.49,12306.72,85082.35
73,36,73,17637.79,31450.35,23687.49,12306.72,85082.35
74,37,74,17699.8,19920.23,20797.38,11561.95,69979.36
75,37,75,17699.8,19920.23,20797.38,11561.95,69979.36
76,37,76,17699.8,19920.23,20797.38,11561.95,69979.36
77,38,77,17515.23,20412.17,22713.85,11517.22,72158.47
78,38,78,17515.23,20412.17,22713.85,11517.22,72158.47
79,38,79,17515.23,20412.17,22713.85,11517.22,72158.47
80,39,80,15838.78,30260.74,21794.24,10062.61,77956.37
81,39,81,15838.78,30260.74,21794.24,10062.61,77956.37
