id,restaurant_id,user_id,business_date,opening_cash,cash_sales,card_sales,upi_sales,online_sales,expenses,expected_cash,actual_cash,variance,status,created_at,updated_at
1,1,24,2025-01-01,854,19243.13,63113.22,22259.15,11546.48,13696.86,6400.27,6384.72,-15.55,Closed,2025-01-01,2025-01-01
2,2,54,2025-01-01,959,17159.78,59975.27,19466.13,11583.39,12143.84,5974.94,5965.94,-9.0,Closed,2025-01-01,2025-01-01
3,3,82,2025-01-01,428,17524.92,64148.04,21967.22,11634.25,5071.77,12881.15,12866.73,-14.42,Closed,2025-01-01,2025-01-01
4,4,132,2025-01-01,304,18799.89,62075.86,21470.89,12322.86,3202.68,15901.21,15908.28,7.07,Closed,2025-01-01,2025-01-01
5,5,163,2025-01-01,758,17724.3,66957.25,22346.04,11067.79,5546.66,12935.64,12919.12,-16.52,Closed,2025-01-01,2025-01-01
6,6,202,2025-01-01,632,16451.69,65076.75,26335.18,12052.16,6802.35,10281.34,10262.61,-18.73,Closed,2025-01-01,2025-01-01
7,7,226,2025-01-01,295,16036.36,60924.08,20225.87,12493.74,12819.06,3512.3,3501.05,-11.25,Closed,2025-01-01,2025-01-01
8,8,275,2025-01-01,717,17234.53,63667.2,22454.02,11505.62,7452.68,10498.85,10502.93,4.08,Closed,2025-01-01,2025-01-01
9,9,299,2025-01-01,774,19260.4,63694.88,26863.42,11130.91,4851.29,15183.11,15171.06,-12.05,Closed,2025-01-01,2025-01-01
10,10,332,2025-01-01,865,16664.21,57998.38,24492.69,11582.61,14255.99,3273.22,3281.27,8.05,Closed,2025-01-01,2025-01-01
11,11,392,2025-01-01,629,17130.47,61218.31,22687.42,10751.37,15503.19,2256.28,2245.1,-11.18,Closed,2025-01-01,2025-01-01
12,12,399,2025-01-01,803,15814.91,58181.66,21594.43,13195.73,13597.49,3020.42,3011.55,-8.87,Closed,2025-01-01,2025-01-01
13,13,425,2025-01-01,206,17496.9,58966.94,19683.6,11537.03,7355.07,10347.83,10358.18,10.35,Closed,2025-01-01,2025-01-01
14,14,472,2025-01-01,363,16933.39,58039.91,21206.25,13218.92,2303.77,14992.62,15000.55,7.93,Closed,2025-01-01,2025-01-01
15,15,498,2025-01-01,548,18864.11,63795.09,22782.31,11784.99,2103.43,17308.68,17299.79,-8.89,Closed,2025-01-01,2025-01-01
16,16,551,2025-01-01,420,15962.87,58757.55,22099.86,10394.64,13447.7,2935.17,2953.46,18.29,Closed,2025-01-01,2025-01-01
