id,cashup_id,note,created_by,created_at
1,1,Minor cash variance observed.,24,2026-06-18 13:25:23.307715
2,1,Cash verified successfully.,24,2026-06-18 13:25:23.307715
3,1,Cash deposited to bank.,24,2026-06-18 13:25:23.307715
4,2,PDQ totals reconciled.,54,2026-06-18 13:25:23.307715
5,3,Minor cash variance observed.,82,2026-06-18 13:25:23.307715
6,4,Variance investigated.,132,2026-06-18 13:25:23.307715
7,4,Minor cash variance observed.,132,2026-06-18 13:25:23.307715
8,4,Daily reconciliation completed.,132,2026-06-18 13:25:23.307715
9,5,Cash verified successfully.,163,2026-06-18 13:25:23.307715
10,5,Cash verified successfully.,163,2026-06-18 13:25:23.307715
11,6,PDQ totals reconciled.,202,2026-06-18 13:25:23.307715
12,7,Variance investigated.,226,2026-06-18 13:25:23.307715
13,8,Cash verified successfully.,275,2026-06-18 13:25:23.307715
14,8,Variance investigated.,275,2026-06-18 13:25:23.307715
15,8,PDQ totals reconciled.,275,2026-06-18 13:25:23.307715
16,9,Variance investigated.,299,2026-06-18 13:25:23.307715
17,9,Customer refund processed.,299,2026-06-18 13:25:23.307715
18,9,PDQ totals reconciled.,299,2026-06-18 13:25:23.307715
19,10,Daily reconciliation completed.,332,2026-06-18 13:25:23.307715
20,10,Cash deposited to bank.,332,2026-06-18 13:25:23.307715
21,11,Manager approved closing balance.,392,2026-06-18 13:25:23.307715
22,12,Customer refund processed.,399,2026-06-18 13:25:23.307715
23,12,Closing completed without issues.,399,2026-06-18 13:25:23.307715
24,12,Cash deposited to bank.,399,2026-06-18 13:25:23.307715
25,13,PDQ totals reconciled.,425,2026-06-18 13:25:23.307715
26,14,Minor cash variance observed.,472,2026-06-18 13:25:23.307715
27,14,Minor cash variance observed.,472,2026-06-18 13:25:23.307715
28,15,Minor cash variance observed.,498,2026-06-18 13:25:23.307715
29,15,Closing completed without issues.,498,2026-06-18 13:25:23.307715
30,16,Daily reconciliation completed.,551,2026-06-18 13:25:23.307715
31,16,Cash deposited to bank.,551,2026-06-18 13:25:23.307715
32,17,Additional float added.,561,2026-06-18 13:25:23.307715
33,18,Minor cash variance observed.,606,2026-06-18 13:25:23.307715
34,18,Customer refund processed.,606,2026-06-18 13:25:23.307715
35,18,Minor cash variance observed.,606,2026-06-18 13:25:23.307715
36,19,Cash deposited to bank.,640,2026-06-18 13:25:23.307715
37,19,Daily reconciliation completed.,640,2026-06-18 13:25:23.307715
38,19,Closing completed without issues.,640,2026-06-18 13:25:23.307715
39,20,PDQ totals reconciled.,666,2026-06-18 13:25:23.307715
40,20,Minor cash variance observed.,666,2026-06-18 13:25:23.307715
41,20,Cash verified successfully.,666,2026-06-18 13:25:23.307715
42,21,PDQ totals reconciled.,716,2026-06-18 13:25:23.307715
43,21,Cash deposited to bank.,716,2026-06-18 13:25:23.307715
44,21,Minor cash variance observed.,716,2026-06-18 13:25:23.307715
45,22,Minor cash variance observed.,724,2026-06-18 13:25:23.307715
46,23,Cash deposited to bank.,767,2026-06-18 13:25:23.307715
47,23,Additional float added.,767,2026-06-18 13:25:23.307715
48,24,Closing completed without issues.,809,2026-06-18 13:25:23.307715
49,24,Manager approved closing balance.,809,2026-06-18 13:25:23.307715
50,24,Closing completed without issues.,809,2026-06-18 13:25:23.307715
51,25,PDQ totals reconciled.,841,2026-06-18 13:25:23.307715
52,25,Cash deposited to bank.,841,2026-06-18 13:25:23.307715
53,26,Minor cash variance observed.,864,2026-06-18 13:25:23.307715
54,26,Daily reconciliation completed.,864,2026-06-18 13:25:23.307715
55,26,Manager approved closing balance.,864,2026-06-18 13:25:23.307715
56,27,PDQ totals reconciled.,898,2026-06-18 13:25:23.307715
57,27,Manager approved closing balance.,898,2026-06-18 13:25:23.307715
58,27,Additional float added.,898,2026-06-18 13:25:23.307715
59,28,Cash deposited to bank.,940,2026-06-18 13:25:23.307715
60,28,Variance investigated.,940,2026-06-18 13:25:23.307715
61,29,Closing completed without issues.,971,2026-06-18 13:25:23.307715
62,30,PDQ totals reconciled.,986,2026-06-18 13:25:23.307715
63,31,Closing completed without issues.,1020,2026-06-18 13:25:23.307715
64,32,Cash deposited to bank.,1067,2026-06-18 13:25:23.307715
65,32,Minor cash variance observed.,1067,2026-06-18 13:25:23.307715
66,33,Daily reconciliation completed.,1113,2026-06-18 13:25:23.307715
67,34,Closing completed without issues.,1142,2026-06-18 13:25:23.307715
68,34,PDQ totals reconciled.,1142,2026-06-18 13:25:23.307715
69,34,Additional float added.,1142,2026-06-18 13:25:23.307715
70,35,Additional float added.,1158,2026-06-18 13:25:23.307715
71,35,Manager approved closing balance.,1158,2026-06-18 13:25:23.307715
72,36,Manager approved closing balance.,1202,2026-06-18 13:25:23.307715
73,36,PDQ totals reconciled.,1202,2026-06-18 13:25:23.307715
74,37,Variance investigated.,1252,2026-06-18 13:25:23.307715
75,37,Variance investigated.,1252,2026-06-18 13:25:23.307715
76,37,Cash deposited to bank.,1252,2026-06-18 13:25:23.307715
77,38,Daily reconciliation completed.,1257,2026-06-18 13:25:23.307715
78,38,Customer refund processed.,1257,2026-06-18 13:25:23.307715
79,38,Daily reconciliation completed.,1257,2026-06-18 13:25:23.307715
