id,order_id,delivery_partner,delivery_status,delivery_distance_km,estimated_minutes,actual_minutes,delivery_charge,pickup_time,delivered_time,created_at,updated_at
1,7,Zomato,Delivered,8.03,21,24,12.19,2025-01-01 13:32:00,2025-01-01 13:46:00,2025-01-01 13:22:00,2025-01-01 13:46:00
2,10,Uber Eats,Delivered,9.1,54,51,17.91,2025-01-01 19:12:00,2025-01-01 19:53:00,2025-01-01 19:02:00,2025-01-01 19:53:00
3,15,Uber Eats,Delivered,1.33,33,35,2.47,2025-01-01 20:59:00,2025-01-01 21:24:00,2025-01-01 20:49:00,2025-01-01 21:24:00
4,19,Just Eat,Delivered,7.17,54,62,10.66,2025-01-01 14:47:00,2025-01-01 15:39:00,2025-01-01 14:37:00,2025-01-01 15:39:00
5,20,Swiggy,Delivered,4.06,20,20,8.56,2025-01-01 12:41:00,2025-01-01 12:51:00,2025-01-01 12:31:00,2025-01-01 12:51:00
6,22,Deliveroo,Delivered,4.06,33,38,5.41,2025-01-01 13:48:00,2025-01-01 14:16:00,2025-01-01 13:38:00,2025-01-01 14:16:00
7,25,Uber Eats,Delivered,2.06,42,56,3.18,2025-01-01 14:39:00,2025-01-01 15:25:00,2025-01-01 14:29:00,2025-01-01 15:25:00
8,26,Deliveroo,Delivered,9.03,54,52,22.26,2025-01-01 19:42:00,2025-01-01 20:24:00,2025-01-01 19:32:00,2025-01-01 20:24:00
9,32,Swiggy,Delivered,1.87,38,53,3.75,2025-01-01 14:45:00,2025-01-01 15:28:00,2025-01-01 14:35:00,2025-01-01 15:28:00
10,34,Swiggy,Delivered,7.35,24,20,15.14,2025-01-01 13:52:00,2025-01-01 14:02:00,2025-01-01 13:42:00,2025-01-01 14:02:00
11,39,Deliveroo,Delivered,11.84,34,32,20.06,2025-01-01 20:46:00,2025-01-01 21:08:00,2025-01-01 20:36:00,2025-01-01 21:08:00
12,45,Zomato,Delivered,7.99,43,43,13.43,2025-01-01 22:03:00,2025-01-01 22:36:00,2025-01-01 21:53:00,2025-01-01 22:36:00
13,47,Just Eat,Delivered,8.37,24,38,16.95,2025-01-01 14:13:00,2025-01-01 14:41:00,2025-01-01 14:03:00,2025-01-01 14:41:00
14,54,In House,Delivered,9.02,30,39,15.27,2025-01-01 10:15:00,2025-01-01 10:44:00,2025-01-01 10:05:00,2025-01-01 10:44:00
15,58,Uber Eats,Delivered,8.57,34,39,19.67,2025-01-01 18:18:00,2025-01-01 18:47:00,2025-01-01 18:08:00,2025-01-01 18:47:00
16,60,Uber Eats,Delivered,3.52,22,27,6.06,2025-01-01 21:51:00,2025-01-01 22:08:00,2025-01-01 21:41:00,2025-01-01 22:08:00
17,61,Deliveroo,Delivered,3.32,56,61,4.9,2025-01-01 12:06:00,2025-01-01 12:57:00,2025-01-01 11:56:00,2025-01-01 12:57:00
18,64,Zomato,Delivered,5.35,49,48,8.26,2025-01-01 20:13:00,2025-01-01 20:51:00,2025-01-01 20:03:00,2025-01-01 20:51:00
19,67,Deliveroo,Delivered,9.19,54,57,19.95,2025-01-01 21:54:00,2025-01-01 22:41:00,2025-01-01 21:44:00,2025-01-01 22:41:00
20,69,Zomato,Delivered,10.88,45,51,16.16,2025-01-01 21:00:00,2025-01-01 21:41:00,2025-01-01 20:50:00,2025-01-01 21:41:00
21,70,Zomato,Delivered,6.6,25,21,15.31,2025-01-01 12:25:00,2025-01-01 12:36:00,2025-01-01 12:15:00,2025-01-01 12:36:00
22,71,Deliveroo,Delivered,7.9,47,61,10.13,2025-01-01 20:36:00,2025-01-01 21:27:00,2025-01-01 20:26:00,2025-01-01 21:27:00
23,72,Just Eat,Delivered,7.55,49,60,11.53,2025-01-01 12:20:00,2025-01-01 13:10:00,2025-01-01 12:10:00,2025-01-01 13:10:00
24,73,Just Eat,Delivered,10.47,20,18,21.84,2025-01-01 09:57:00,2025-01-01 10:05:00,2025-01-01 09:47:00,2025-01-01 10:05:00
