id,restaurant_id,user_id,expense_date,expense_category,amount,payment_method,description,status,created_at,updated_at
1,1,25,2025-01-01,Electricity,342.52,Bank Transfer,Electricity Expense,Approved,2025-01-01,2025-01-01
2,1,8,2025-01-01,Gas,490.17,Cash,Gas Expense,Approved,2025-01-01,2025-01-01
3,1,18,2025-01-01,Marketing,356.49,UPI,Marketing Expense,Approved,2025-01-01,2025-01-01
4,1,5,2025-01-01,Rent,2238.38,Card,Rent Expense,Approved,2025-01-01,2025-01-01
5,1,3,2025-01-01,Gas,856.96,Cash,Gas Expense,Approved,2025-01-01,2025-01-01
6,1,18,2025-01-01,Marketing,557.91,UPI,Marketing Expense,Approved,2025-01-01,2025-01-01
7,1,17,2025-01-01,Gas,783.97,Bank Transfer,Gas Expense,Approved,2025-01-01,2025-01-01
8,1,13,2025-01-01,Rent,8070.46,Card,Rent Expense,Approved,2025-01-01,2025-01-01
9,2,63,2025-01-01,Maintenance,1086.73,Card,Maintenance Expense,Approved,2025-01-01,2025-01-01
10,2,53,2025-01-01,Gas,1444.38,Bank Transfer,Gas Expense,Approved,2025-01-01,2025-01-01
11,2,67,2025-01-01,Electricity,457.67,Cash,Electricity Expense,Approved,2025-01-01,2025-01-01
12,2,57,2025-01-01,Cleaning,431.37,Bank Transfer,Cleaning Expense,Approved,2025-01-01,2025-01-01
13,2,35,2025-01-01,Rent,7837.85,Cash,Rent Expense,Approved,2025-01-01,2025-01-01
14,2,37,2025-01-01,Maintenance,328.52,Bank Transfer,Maintenance Expense,Approved,2025-01-01,2025-01-01
15,2,61,2025-01-01,Miscellaneous,445.02,Bank Transfer,Miscellaneous Expense,Approved,2025-01-01,2025-01-01
16,2,54,2025-01-01,Miscellaneous,112.3,Cash,Miscellaneous Expense,Approved,2025-01-01,2025-01-01
17,3,68,2025-01-01,Gas,1204.99,Cash,Gas Expense,Approved,2025-01-01,2025-01-01
18,3,72,2025-01-01,Gas,1326.43,UPI,Gas Expense,Approved,2025-01-01,2025-01-01
19,3,87,2025-01-01,Ingredients,2540.35,Bank Transfer,Ingredients Expense,Approved,2025-01-01,2025-01-01
20,4,102,2025-01-01,Cleaning,209.87,Bank Transfer,Cleaning Expense,Approved,2025-01-01,2025-01-01
21,4,112,2025-01-01,Electricity,1335.52,Card,Electricity Expense,Approved,2025-01-01,2025-01-01
22,4,137,2025-01-01,Marketing,1512.43,Card,Marketing Expense,Approved,2025-01-01,2025-01-01
23,4,111,2025-01-01,Internet,144.86,Card,Internet Expense,Approved,2025-01-01,2025-01-01
24,5,153,2025-01-01,Cleaning,429.28,Cash,Cleaning Expense,Approved,2025-01-01,2025-01-01
25,5,157,2025-01-01,Gas,1268.34,Bank Transfer,Gas Expense,Approved,2025-01-01,2025-01-01
26,5,151,2025-01-01,Maintenance,876.45,Card,Maintenance Expense,Approved,2025-01-01,2025-01-01
27,5,139,2025-01-01,Miscellaneous,440.66,Bank Transfer,Miscellaneous Expense,Approved,2025-01-01,2025-01-01
28,5,168,2025-01-01,Gas,1052.07,UPI,Gas Expense,Approved,2025-01-01,2025-01-01
29,5,138,2025-01-01,Internet,85.72,Card,Internet Expense,Approved,2025-01-01,2025-01-01
30,5,140,2025-01-01,Gas,1168.49,Bank Transfer,Gas Expense,Approved,2025-01-01,2025-01-01
31,5,148,2025-01-01,Miscellaneous,225.65,UPI,Miscellaneous Expense,Approved,2025-01-01,2025-01-01
32,6,194,2025-01-01,Gas,1496.52,Card,Gas Expense,Approved,2025-01-01,2025-01-01
33,6,198,2025-01-01,Marketing,1088.33,Cash,Marketing Expense,Approved,2025-01-01,2025-01-01
34,6,194,2025-01-01,Electricity,559.83,Card,Electricity Expense,Approved,2025-01-01,2025-01-01
35,6,190,2025-01-01,Maintenance,1829.59,UPI,Maintenance Expense,Approved,2025-01-01,2025-01-01
36,6,201,2025-01-01,Maintenance,1828.08,UPI,Maintenance Expense,Approved,2025-01-01,2025-01-01
37,7,233,2025-01-01,Ingredients,4869.85,Cash,Ingredients Expense,Approved,2025-01-01,2025-01-01
38,7,221,2025-01-01,Electricity,1458.91,Bank Transfer,Electricity Expense,Approved,2025-01-01,2025-01-01
39,7,230,2025-01-01,Cleaning,100.2,UPI,Cleaning Expense,Approved,2025-01-01,2025-01-01
40,7,222,2025-01-01,Water,281.49,Bank Transfer,Water Expense,Approved,2025-01-01,2025-01-01
41,7,217,2025-01-01,Marketing,1571.53,Cash,Marketing Expense,Approved,2025-01-01,2025-01-01
42,7,235,2025-01-01,Ingredients,4287.51,Card,Ingredients Expense,Approved,2025-01-01,2025-01-01
43,7,225,2025-01-01,Water,249.57,Card,Water Expense,Approved,2025-01-01,2025-01-01
44,8,264,2025-01-01,Marketing,1853.29,Bank Transfer,Marketing Expense,Approved,2025-01-01,2025-01-01
45,8,268,2025-01-01,Internet,54.87,Bank Transfer,Internet Expense,Approved,2025-01-01,2025-01-01
46,8,271,2025-01-01,Ingredients,1577.54,Card,Ingredients Expense,Approved,2025-01-01,2025-01-01
47,8,250,2025-01-01,Miscellaneous,474.54,Cash,Miscellaneous Expense,Approved,2025-01-01,2025-01-01
48,8,267,2025-01-01,Internet,254.01,Card,Internet Expense,Approved,2025-01-01,2025-01-01
49,8,258,2025-01-01,Water,363.9,Card,Water Expense,Approved,2025-01-01,2025-01-01
50,8,261,2025-01-01,Ingredients,2874.53,UPI,Ingredients Expense,Approved,2025-01-01,2025-01-01
51,9,311,2025-01-01,Marketing,1559.48,Card,Marketing Expense,Approved,2025-01-01,2025-01-01
52,9,286,2025-01-01,Ingredients,2295.47,Bank Transfer,Ingredients Expense,Approved,2025-01-01,2025-01-01
53,9,278,2025-01-01,Internet,274.9,UPI,Internet Expense,Approved,2025-01-01,2025-01-01
54,9,296,2025-01-01,Electricity,721.44,Cash,Electricity Expense,Approved,2025-01-01,2025-01-01
55,10,326,2025-01-01,Rent,6706.47,Card,Rent Expense,Approved,2025-01-01,2025-01-01
56,10,321,2025-01-01,Miscellaneous,125.7,Cash,Miscellaneous Expense,Approved,2025-01-01,2025-01-01
57,10,343,2025-01-01,Rent,3831.53,Cash,Rent Expense,Approved,2025-01-01,2025-01-01
58,10,339,2025-01-01,Cleaning,81.89,Card,Cleaning Expense,Approved,2025-01-01,2025-01-01
59,10,328,2025-01-01,Ingredients,3510.4,Card,Ingredients Expense,Approved,2025-01-01,2025-01-01
60,11,382,2025-01-01,Water,389.34,UPI,Water Expense,Approved,2025-01-01,2025-01-01
61,11,356,2025-01-01,Gas,1220.01,UPI,Gas Expense,Approved,2025-01-01,2025-01-01
62,11,353,2025-01-01,Gas,322.62,UPI,Gas Expense,Approved,2025-01-01,2025-01-01
63,11,359,2025-01-01,Cleaning,240.61,UPI,Cleaning Expense,Approved,2025-01-01,2025-01-01
64,11,355,2025-01-01,Rent,7386.92,Cash,Rent Expense,Approved,2025-01-01,2025-01-01
65,11,375,2025-01-01,Rent,5220.97,Bank Transfer,Rent Expense,Approved,2025-01-01,2025-01-01
66,11,363,2025-01-01,Electricity,722.72,Card,Electricity Expense,Approved,2025-01-01,2025-01-01
67,12,398,2025-01-01,Internet,85.05,Card,Internet Expense,Approved,2025-01-01,2025-01-01
68,12,401,2025-01-01,Ingredients,2581.83,Cash,Ingredients Expense,Approved,2025-01-01,2025-01-01
69,12,415,2025-01-01,Internet,252.01,Cash,Internet Expense,Approved,2025-01-01,2025-01-01
70,12,401,2025-01-01,Rent,7217.16,Cash,Rent Expense,Approved,2025-01-01,2025-01-01
71,12,416,2025-01-01,Electricity,1874.82,Card,Electricity Expense,Approved,2025-01-01,2025-01-01
72,12,394,2025-01-01,Water,262.57,UPI,Water Expense,Approved,2025-01-01,2025-01-01
73,12,417,2025-01-01,Gas,1324.05,Cash,Gas Expense,Approved,2025-01-01,2025-01-01
74,13,452,2025-01-01,Maintenance,106.25,UPI,Maintenance Expense,Approved,2025-01-01,2025-01-01
75,13,452,2025-01-01,Ingredients,4669.33,UPI,Ingredients Expense,Approved,2025-01-01,2025-01-01
76,13,437,2025-01-01,Ingredients,2403.53,UPI,Ingredients Expense,Approved,2025-01-01,2025-01-01
77,13,431,2025-01-01,Water,175.96,Card,Water Expense,Approved,2025-01-01,2025-01-01
78,14,460,2025-01-01,Miscellaneous,373.15,Cash,Miscellaneous Expense,Approved,2025-01-01,2025-01-01
79,14,460,2025-01-01,Cleaning,75.72,UPI,Cleaning Expense,Approved,2025-01-01,2025-01-01
80,14,483,2025-01-01,Marketing,1854.9,Card,Marketing Expense,Approved,2025-01-01,2025-01-01
81,15,504,2025-01-01,Marketing,344.2,Card,Marketing Expense,Approved,2025-01-01,2025-01-01
82,15,512,2025-01-01,Electricity,1311.56,Card,Electricity Expense,Approved,2025-01-01,2025-01-01
83,15,505,2025-01-01,Maintenance,447.67,Card,Maintenance Expense,Approved,2025-01-01,2025-01-01
84,16,534,2025-01-01,Miscellaneous,39.08,Cash,Miscellaneous Expense,Approved,2025-01-01,2025-01-01
85,16,527,2025-01-01,Maintenance,2006.38,Bank Transfer,Maintenance Expense,Approved,2025-01-01,2025-01-01
86,16,545,2025-01-01,Ingredients,1419.17,Bank Transfer,Ingredients Expense,Approved,2025-01-01,2025-01-01
87,16,526,2025-01-01,Gas,545.3,Card,Gas Expense,Approved,2025-01-01,2025-01-01
88,16,550,2025-01-01,Ingredients,2557.51,Cash,Ingredients Expense,Approved,2025-01-01,2025-01-01
89,16,549,2025-01-01,Rent,5666.28,Cash,Rent Expense,Approved,2025-01-01,2025-01-01
90,16,549,2025-01-01,Electricity,1213.98,Bank Transfer,Electricity Expense,Approved,2025-01-01,2025-01-01
91,17,555,2025-01-01,Cleaning,446.39,Card,Cleaning Expense,Approved,2025-01-01,2025-01-01
92,17,570,2025-01-01,Cleaning,178.24,UPI,Cleaning Expense,Approved,2025-01-01,2025-01-01
93,17,575,2025-01-01,Marketing,1466.37,Cash,Marketing Expense,Approved,2025-01-01,2025-01-01
94,17,578,2025-01-01,Marketing,738.88,Cash,Marketing Expense,Approved,2025-01-01,2025-01-01
95,18,609,2025-01-01,Ingredients,1019.43,Cash,Ingredients Expense,Approved,2025-01-01,2025-01-01
96,18,592,2025-01-01,Marketing,479.81,Bank Transfer,Marketing Expense,Approved,2025-01-01,2025-01-01
97,18,613,2025-01-01,Miscellaneous,121.1,Bank Transfer,Miscellaneous Expense,Approved,2025-01-01,2025-01-01
98,18,601,2025-01-01,Gas,1093.75,Bank Transfer,Gas Expense,Approved,2025-01-01,2025-01-01
99,19,632,2025-01-01,Internet,112.78,Cash,Internet Expense,Approved,2025-01-01,2025-01-01
100,19,622,2025-01-01,Electricity,1378.28,Bank Transfer,Electricity Expense,Approved,2025-01-01,2025-01-01
101,19,635,2025-01-01,Rent,2028.37,Card,Rent Expense,Approved,2025-01-01,2025-01-01
102,19,624,2025-01-01,Ingredients,1227.12,UPI,Ingredients Expense,Approved,2025-01-01,2025-01-01
103,19,625,2025-01-01,Marketing,1470.2,Cash,Marketing Expense,Approved,2025-01-01,2025-01-01
104,19,637,2025-01-01,Electricity,427.91,Card,Electricity Expense,Approved,2025-01-01,2025-01-01
105,19,638,2025-01-01,Marketing,264.85,Bank Transfer,Marketing Expense,Approved,2025-01-01,2025-01-01
106,20,661,2025-01-01,Marketing,466.57,Card,Marketing Expense,Approved,2025-01-01,2025-01-01
107,20,665,2025-01-01,Rent,4466.07,Cash,Rent Expense,Approved,2025-01-01,2025-01-01
108,20,654,2025-01-01,Cleaning,144.53,Card,Cleaning Expense,Approved,2025-01-01,2025-01-01
109,20,658,2025-01-01,Electricity,901.25,UPI,Electricity Expense,Approved,2025-01-01,2025-01-01
110,20,671,2025-01-01,Miscellaneous,379.75,Card,Miscellaneous Expense,Approved,2025-01-01,2025-01-01
111,20,674,2025-01-01,Water,490.48,Card,Water Expense,Approved,2025-01-01,2025-01-01
112,20,675,2025-01-01,Maintenance,171.88,Bank Transfer,Maintenance Expense,Approved,2025-01-01,2025-01-01
113,21,693,2025-01-01,Gas,546.85,Cash,Gas Expense,Approved,2025-01-01,2025-01-01
