id,restaurant_id,supplier_id,item_name,category,unit,quantity,minimum_stock,maximum_stock,unit_cost,inventory_value,status,created_at,updated_at
1,1,3,Chicken Breast,Meat,kg,41,10,130,56.58,2319.78,Active,2026-06-18 12:15:22.659051,2026-06-18 12:15:22.659051
2,1,2,Chicken Breast,Meat,kg,53,31,220,148.03,7845.59,Active,2026-06-18 12:15:22.659051,2026-06-18 12:15:22.659051
3,1,1,Onions,Vegetables,kg,37,10,83,58.93,2180.41,Active,2026-06-18 12:15:22.659051,2026-06-18 12:15:22.659051
4,1,4,Cleaning Liquid,Cleaning,litre,60,10,203,179.29,10757.4,Active,2026-06-18 12:15:22.659051,2026-06-18 12:15:22.659051
5,1,1,Soft Drinks,Beverages,case,80,23,129,147.73,11818.4,Active,2026-06-18 12:15:22.659051,2026-06-18 12:15:22.659051
6,1,3,Tomatoes,Vegetables,kg,123,34,124,106.23,13066.29,Active,2026-06-18 12:15:22.659051,2026-06-18 12:15:22.659051
7,1,2,Sugar,Groceries,kg,111,14,119,84.81,9413.91,Active,2026-06-18 12:15:22.659051,2026-06-18 12:15:22.659051
8,1,8,Potatoes,Vegetables,kg,67,22,96,212.03,14206.01,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
9,1,8,Cleaning Liquid,Cleaning,litre,64,18,79,115.4,7385.6,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
10,1,3,Chicken Breast,Meat,kg,59,39,185,138.46,8169.14,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
11,1,6,Cleaning Liquid,Cleaning,litre,87,38,180,176.44,15350.28,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
12,1,7,Onions,Vegetables,kg,129,31,139,73.06,9424.74,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
13,1,3,Potatoes,Vegetables,kg,49,37,146,95.65,4686.85,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
14,1,3,Eggs,Dairy,dozen,71,30,173,93.18,6615.78,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
15,1,8,Rice,Grains,kg,120,31,149,234.23,28107.6,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
16,1,8,Potatoes,Vegetables,kg,97,29,122,182.55,17707.35,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
17,1,7,Fish,Seafood,kg,93,24,171,247.39,23007.27,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
18,1,4,Soft Drinks,Beverages,case,31,17,150,58.03,1798.93,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
19,1,7,Onions,Vegetables,kg,137,35,165,67.67,9270.79,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
20,1,7,Rice,Grains,kg,222,39,234,79.35,17615.7,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
21,1,5,Coffee Beans,Beverages,kg,58,22,189,66.96,3883.68,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
22,1,8,Flour,Grains,kg,170,33,226,66.42,11291.4,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
23,1,2,Mineral Water,Beverages,case,125,23,222,91.14,11392.5,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
24,1,2,Mutton,Meat,kg,49,26,202,189.19,9270.31,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
25,1,1,Chicken Breast,Meat,kg,101,14,104,106.12,10718.12,Active,2026-06-18 12:15:22.674715,2026-06-18 12:15:22.674715
