id,restaurant_id,category_id,item_name,description,price,cost_price,profit,prep_time,calories,is_veg,is_available,status,created_at,updated_at
1,1,8,Chicken Burger,Freshly prepared Chicken Burger,10.25,6.89,3.36,12,292,True,True,Active,2026-06-18 12:17:05.007710,2026-06-18 12:17:05.007710
2,1,8,Veg Burger,Freshly prepared Veg Burger,13.9,5.25,8.65,7,373,True,True,Active,2026-06-18 12:17:05.007710,2026-06-18 12:17:05.007710
3,1,7,Margherita Pizza,Freshly prepared Margherita Pizza,17.61,14.16,3.45,27,708,False,True,Active,2026-06-18 12:17:05.008697,2026-06-18 12:17:05.008697
4,1,4,Butter Chicken,Freshly prepared Butter Chicken,20.49,11.92,8.57,5,313,False,True,Active,2026-06-18 12:17:05.008697,2026-06-18 12:17:05.008697
5,1,6,Hakka Noodles,Freshly prepared Hakka Noodles,13.78,6.68,7.1,29,494,True,True,Active,2026-06-18 12:17:05.008697,2026-06-18 12:17:05.008697
6,1,8,Veg Burger,Freshly prepared Veg Burger,11.8,7.08,4.72,16,768,False,True,Active,2026-06-18 12:17:05.008697,2026-06-18 12:17:05.008697
7,1,7,Pepperoni Pizza,Freshly prepared Pepperoni Pizza,22.3,16.06,6.24,17,230,False,True,Active,2026-06-18 12:17:05.010203,2026-06-18 12:17:05.010203
8,1,9,Chocolate Brownie,Freshly prepared Chocolate Brownie,12.77,9.18,3.59,6,827,True,True,Active,2026-06-18 12:17:05.010203,2026-06-18 12:17:05.010203
9,1,5,Veg Fried Rice,Freshly prepared Veg Fried Rice,19.85,16.85,3.0,8,539,False,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
10,1,10,Tea,Freshly prepared Tea,9.36,3.69,5.67,16,513,True,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
11,1,5,Chicken Biryani,Freshly prepared Chicken Biryani,22.02,16.9,5.12,7,773,True,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
12,1,4,Butter Chicken,Freshly prepared Butter Chicken,17.63,11.9,5.73,25,854,True,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
13,1,6,Hakka Noodles,Freshly prepared Hakka Noodles,19.43,15.42,4.01,12,182,False,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
14,1,9,Ice Cream,Freshly prepared Ice Cream,7.68,2.99,4.69,23,885,False,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
15,1,4,Paneer Butter Masala,Freshly prepared Paneer Butter Masala,20.55,12.57,7.98,25,619,True,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
16,1,5,Chicken Biryani,Freshly prepared Chicken Biryani,16.4,13.51,2.89,22,419,False,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
17,1,9,Ice Cream,Freshly prepared Ice Cream,8.62,7.6,1.02,9,671,False,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
18,1,8,Veg Burger,Freshly prepared Veg Burger,15.56,13.23,2.33,9,792,True,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
19,1,10,Coffee,Freshly prepared Coffee,9.96,4.06,5.9,24,629,False,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
20,1,7,Margherita Pizza,Freshly prepared Margherita Pizza,18.8,9.12,9.68,22,423,False,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
21,1,8,Chicken Burger,Freshly prepared Chicken Burger,12.94,6.94,6.0,5,889,False,True,Active,2026-06-18 12:17:05.011055,2026-06-18 12:17:05.011055
22,1,1,Garlic Bread,Freshly prepared Garlic Bread,11.08,2.86,8.22,25,455,True,True,Active,2026-06-18 12:17:05.014454,2026-06-18 12:17:05.014454
23,1,1,French Fries,Freshly prepared French Fries,8.74,2.93,5.81,29,693,True,True,Active,2026-06-18 12:17:05.014861,2026-06-18 12:17:05.014861
24,1,6,Hakka Noodles,Freshly prepared Hakka Noodles,15.89,6.11,9.78,16,464,True,True,Active,2026-06-18 12:17:05.014861,2026-06-18 12:17:05.014861
