id,client_id,restaurant_name,restaurant_type,cuisine,country,currency,city,postcode,address,phone,email,opening_time,closing_time,seating_capacity,delivery_available,takeaway_available,average_daily_customers,average_order_value,google_rating,status,created_at,updated_at
1,1,Shaw PLC,Fine Dining,Thai,United Kingdom,GBP,Martynberg,G32 2EA,"Studio 66z, George Common, Farrellfort, M1 1TA",(020) 7496 0380,nicholasblackburn@green.com,09:00,22:00,92,True,True,184,44.48,4.8,Active,2026-06-18 12:01:28.898443,2026-06-18 12:01:28.898443
2,2,Thomas-Johnson,Cloud Kitchen,British,United Kingdom,GBP,Coatesmouth,HG3 5PT,"84 Gordon Walk, Katherineshire, W69 1HU",(0114) 496 0421,laura69@cross-rowley.com,09:00,22:00,38,True,True,303,23.17,4.4,Active,2026-06-18 12:01:28.898443,2026-06-18 12:01:28.898443
3,3,Robson PLC,Bakery,British,United Kingdom,GBP,Donnahaven,LU2W 6SF,"24 Gordon Parkways, Port Rhys, L6D 7DJ",+44(0)116 496 0300,olivergough@thompson.com,09:00,22:00,86,False,False,86,48.42,3.7,Active,2026-06-18 12:01:28.899449,2026-06-18 12:01:28.899449
4,3,Davies LLC,Fast Food,Japanese,United Kingdom,GBP,Lake Carolyn,E73 7GN,"5 Lee Walks, Woodsview, L48 7JQ",+44808 1570248,matthew56@lee-baker.biz,09:00,22:00,101,True,True,424,16.91,4.1,Active,2026-06-18 12:01:28.899449,2026-06-18 12:01:28.899449
5,4,"Khurana, Pandit and Keer",Cafe,Thai,India,INR,Delhi,415131,"06/56, Raghavan, Gandhinagar-481685",+913274479940,qkakar@handa.com,09:00,22:00,236,True,False,207,58.71,4.1,Active,2026-06-18 12:01:28.899449,2026-06-18 12:01:28.899449
6,4,Sinha-Gill,Cloud Kitchen,Thai,India,INR,Jammu,870094,"72/638, Hari Path, Patiala 177901",06528279984,baradfinn@ram-nayak.com,09:00,22:00,242,False,True,151,14.2,3.8,Active,2026-06-18 12:01:28.899449,2026-06-18 12:01:28.899449
7,4,Yohannan LLC,Cafe,Italian,India,INR,Vijayawada,861852,"79/46, Misra Road, Noida 313357",7919143649,kotavedhika@khosla.com,09:00,22:00,248,True,True,469,25.34,4.5,Active,2026-06-18 12:01:28.899449,2026-06-18 12:01:28.899449
8,5,"Baker, Jones and Thompson",Casual Dining,Japanese,United Kingdom,GBP,Danielport,LD25 9GJ,"Flat 4, Moss Spring, New Craigborough, G16 1SD",029 2018 0749,fjones@carr.info,09:00,22:00,120,True,False,153,41.24,3.8,Active,2026-06-18 12:01:28.899449,2026-06-18 12:01:28.899449
9,5,"Mason, Brady and Palmer",Bakery,Mexican,United Kingdom,GBP,Oliviafort,HX1V 6LS,"Flat 75, Rachael Track, South Yvonne, W1 3HY",+44(0)118 4960159,kellymargaret@smith-conway.biz,09:00,22:00,71,False,False,356,59.5,4.5,Active,2026-06-18 12:01:28.899449,2026-06-18 12:01:28.899449
10,5,"Green, Webb and Taylor",Cloud Kitchen,Mexican,United Kingdom,GBP,Lake Williammouth,B92 4ZS,"Studio 72, Shaun Spurs, Garrybury, WC00 4SY",(0116)4960261,aaronjones@curtis.info,09:00,22:00,205,False,True,314,51.45,4.7,Active,2026-06-18 12:01:28.900451,2026-06-18 12:01:28.900451
