id,restaurant_id,supplier_name,category,email,phone,city,rating,status,created_at,updated_at
1,1,Cardenas-Gonzalez,Vegetables,bradleysutton@garza.com,001-323-538-1195,Lake Melindaborough,4.8,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
2,1,Mack-Davis,Cleaning,elizabethbrown@miller-obrien.com,+1-900-966-3791x9154,Schwartzmouth,4.4,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
3,1,Lewis PLC,Packaging,smithkatelyn@kelly.com,(794)224-7370,North Seanmouth,4.0,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
4,1,Brown-Le,Bakery,grantmargaret@contreras.com,001-493-733-2832x541,North Jilliantown,4.5,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
5,1,"Ward, Gross and Munoz",Meat,lisa26@fischer-hoffman.com,788.286.0654x18398,Stewartburgh,3.9,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
6,1,"Cox, Stevens and Hendrix",Dairy,gmercado@atkinson.com,001-973-919-8141x7192,Lake Dawn,3.6,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
7,1,"Brown, Clark and Brooks",Vegetables,estafford@doyle.biz,001-933-811-0403,Johnland,4.5,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
8,1,Parker-Nichols,Seafood,debragoodman@henderson.com,+1-608-974-2782,Port Laurie,4.3,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
9,2,"Hamilton, Francis and Guzman",Meat,longjeffrey@benjamin.com,920-231-0375x1837,Lake Jenniferside,4.9,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
10,2,"Lowery, Rodriguez and Reyes",Dairy,timothyowens@smith-price.com,9264258570,Cynthialand,3.9,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
11,2,Berger PLC,Cleaning,pcollins@valdez-dixon.com,+1-405-698-0388,Brianland,3.8,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
12,2,Lopez-Martinez,Beverages,leonarddavid@logan.com,8052590247,Whitemouth,4.3,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
13,2,"Carpenter, Chapman and Hart",Seafood,amanda43@houston-mitchell.com,817.352.8377x28137,Colemanport,4.3,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
14,2,Schmidt PLC,Dairy,sara80@sims-gillespie.com,+1-514-364-8138x140,Michaelburgh,4.5,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
15,2,Sanchez LLC,Cleaning,craigwest@johnson.info,692.981.3849,Onealtown,4.5,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
16,2,Weber-Bell,Beverages,charlespadilla@carlson.com,(691)845-9784,Melissatown,3.6,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
17,2,Coleman-Choi,Bakery,parkerjean@rios.com,001-576-308-2959x57761,Jessicastad,4.3,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
18,2,Sutton-Holt,Beverages,gdorsey@holt.biz,(305)875-6440,Port Christopher,4.4,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
19,2,"Gregory, Kennedy and Lopez",Seafood,torresrebecca@martin.com,001-805-289-2626x14538,Carlosland,4.4,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
20,2,Gregory-Reed,Seafood,margaret94@bradley-gray.com,702.327.9512,North Karinamouth,4.1,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
21,2,"Alexander, Valenzuela and Lewis",Meat,michaelcooper@bryant.net,218-797-8231,Donaldborough,4.1,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
22,2,Stone-Alexander,Cleaning,harrisamy@richards-bell.org,001-248-520-8764x5778,East Julieport,3.7,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
23,3,Henderson PLC,Beverages,gregorypatterson@beck-hernandez.com,+1-327-412-5041x8946,New Michael,3.9,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
24,3,Welch-Rodriguez,Beverages,meredith37@deleon-sosa.info,+1-624-938-0547,Port Ryan,3.6,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
25,3,Reynolds Ltd,Dairy,rachel53@reese.com,644-397-2647x334,Port Dylan,3.9,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
26,3,"Cohen, Richardson and Johnson",Dairy,karltorres@hernandez.org,001-375-850-9911,New Rebeccastad,3.9,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
27,3,Townsend-Coleman,Vegetables,kevinperez@hall.info,498.213.4459x5541,Lake Ashley,4.5,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
28,3,"Morales, Hansen and Anderson",Cleaning,swest@wheeler-arias.com,+1-726-823-7498x602,Port Jeremyburgh,3.6,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
29,3,"Lewis, Powell and Williams",Cleaning,raymond45@olsen-cole.net,+1-236-324-8233x1318,Mackenzieville,4.9,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
30,3,"Harris, Watkins and Fields",Packaging,hillwesley@cox.com,728-725-1324x599,South Raymond,4.4,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
31,3,"Castillo, Krueger and Robertson",Beverages,jennifermiller@richards.com,734-387-1597,North Lisaview,4.4,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
32,3,"Wright, Thomas and Dawson",Vegetables,edward99@hernandez-klein.org,793.978.9527,Lambertstad,4.2,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
33,4,"Evans, Thornton and Smith",Vegetables,xchavez@walker.net,001-417-420-6930x32824,Georgeport,4.4,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
34,4,Church-Flores,Cleaning,bridgetsmith@castro-newman.info,484-492-3808x4565,Lake Larryberg,4.9,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
35,4,"Chen, Perry and Johnson",Vegetables,victorspencer@smith.net,413.521.5480,East Laurenstad,4.0,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
36,4,Obrien-Ward,Vegetables,tyler16@carson.com,(419)615-5170x263,Johnsonfurt,3.6,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
37,4,"Palmer, Dalton and Walters",Vegetables,michael18@murphy-stewart.com,(917)503-2259x77552,East James,4.7,Active,2026-06-18 12:13:37.950654,2026-06-18 12:13:37.950654
38,4,"Evans, Wright and Jones",Seafood,cfleming@lee.com,424-984-8944x806,Lake Johnshire,4.9,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
39,4,Lowe Inc,Beverages,peggy57@english.biz,439.323.8940,West Angelatown,3.7,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
40,4,Rodriguez-Singh,Meat,cohenjerry@gonzalez-brown.com,001-787-976-4130x422,Rowefurt,4.4,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
41,4,Clark Group,Dairy,nhall@clements.info,863.761.7477,Craighaven,3.5,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
42,4,Harris-Bailey,Seafood,jmiller@saunders.com,001-847-629-9567x722,Port Anthonyburgh,4.5,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
43,4,Whitaker and Sons,Bakery,swatkins@stewart.com,001-998-217-6352x4035,New Melissa,3.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
44,4,Jimenez-Browning,Seafood,sbest@rodriguez-smith.com,+1-941-302-5945x793,Hernandezborough,4.1,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
45,5,Smith LLC,Vegetables,dorothyadams@george.com,4722549941,Millerville,4.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
46,5,Williams-Pacheco,Meat,davidcook@russell-williams.com,+1-636-474-5664,West Patrick,4.9,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
47,5,"Franklin, Mason and Hawkins",Beverages,wilsonkyle@burnett.com,(816)680-7716x1629,Port Sharon,4.9,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
48,5,Mason Inc,Meat,colemanjoseph@reid-cooper.com,992.481.0837x036,Jamesborough,4.4,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
49,5,"Cantu, King and Clark",Vegetables,thompsonjeffrey@aguirre.net,(690)988-4380x0284,East Scott,4.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
50,5,"Richardson, Larson and Smith",Bakery,christine23@austin.info,711-609-2650x615,Fletcherton,4.9,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
51,5,Hernandez-Cuevas,Meat,reginald89@chen-warren.biz,959-722-4409x362,Michaelchester,3.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
52,5,Jackson-Taylor,Seafood,hchurch@ferguson.com,814-946-9686x5562,East Anthony,4.2,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
53,5,Cook-Wagner,Vegetables,peggyarnold@miller-morris.org,865-412-5777x602,East Emily,4.1,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
54,5,Murphy Inc,Packaging,kgarrett@ferguson.com,382.430.5538x824,Bryantbury,3.5,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
55,5,Torres-Harvey,Packaging,dsmith@rodriguez.com,396-871-6651,Sellerschester,3.7,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
56,5,Welch and Sons,Bakery,william84@harris.com,549-907-2521x190,New Gregoryshire,4.1,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
57,6,"Harris, Jones and Ross",Cleaning,phillipsmark@huff-jackson.biz,001-560-769-1034,West Johnstad,4.3,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
58,6,Fletcher-Adams,Bakery,louisballard@soto.com,242-888-4494,Molinamouth,4.5,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
59,6,Smith-Shaw,Seafood,heather48@kelly.com,559-944-1083,Ryanbury,4.0,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
60,6,"Wilson, White and Mullins",Beverages,xblake@stokes.net,575.849.1877x454,Lake Kellyborough,4.3,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
61,6,"Bishop, Smith and Moore",Packaging,stewartjeffery@martinez.com,+1-811-597-1840x9694,Johnsonville,3.5,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
62,6,Fritz Inc,Beverages,dschwartz@nguyen-palmer.com,387-538-4439,South Erin,4.7,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
63,6,"Sandoval, Peterson and Sweeney",Packaging,caitlinlewis@casey-morales.org,001-783-430-5964x094,Jonesborough,3.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
64,6,Warner Ltd,Beverages,harrischase@leonard.com,478-667-3356x8659,Perkinsbury,4.4,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
65,7,Singleton-Rogers,Seafood,anthony25@wright-smith.com,(617)611-3575x8424,North Briannaland,5.0,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
66,7,Perez-Walker,Cleaning,virginiaortega@wood-reyes.com,429-476-0243x967,Lake Joy,4.7,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
67,7,"Page, Hayes and Santiago",Seafood,gerald64@torres-bradford.org,(280)262-2002x96737,Andrewview,4.3,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
68,7,Orozco-Jackson,Beverages,victorstanley@warren-stewart.net,001-708-568-3560x48032,East Angela,3.9,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
69,7,Allen Inc,Dairy,sanchezbarbara@wolfe.info,001-340-304-8743x1032,New Scottmouth,3.9,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
70,7,"Morrow, Johnson and Norton",Dairy,vhoffman@douglas-summers.com,(927)409-9867,West Rachaelfort,4.5,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
71,7,"Martinez, Hernandez and Mcmahon",Beverages,gibsonshelby@tucker-reeves.info,451.420.2184x25469,Port Connorton,5.0,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
72,7,Tran-Aguilar,Packaging,hbriggs@schaefer-sanchez.com,001-618-717-2929x1812,Melindaton,4.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
73,7,Nguyen-Martin,Meat,brittanymorgan@schwartz.com,001-814-653-7733x116,North Amy,3.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
74,7,Scott Inc,Packaging,jeffreycain@smith.com,(423)640-3581x2109,Davidmouth,4.8,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
75,7,Steele-Johnson,Beverages,erinwagner@harvey.com,+1-787-699-1040x867,North Marcus,4.4,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
76,7,Ramsey-Wright,Vegetables,welchdominique@white.com,(214)621-4458,Lake Joshuahaven,4.0,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
77,7,"Rios, Davis and Vargas",Seafood,probinson@mccullough.com,001-228-699-5110x1921,Port Franciscomouth,4.1,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
78,7,"Taylor, Ortiz and Woods",Bakery,thoward@santiago.com,455.377.5660x940,North Alejandroburgh,4.8,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
79,7,Cline LLC,Dairy,cookrebecca@rodriguez.com,630.347.1968,West Jeffreystad,4.4,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
80,8,George Inc,Seafood,nicholascox@boyd.com,398-506-2283x68891,West Marissa,4.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
81,8,"Cohen, Brown and Rios",Meat,petersenterry@ramirez.com,+1-376-282-5613x751,Thompsonview,3.7,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
82,8,Robbins PLC,Beverages,ncarrillo@schneider.com,(396)817-7067x3440,South Tammy,4.3,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
83,8,"Floyd, Williams and Ortiz",Meat,spencermorales@curtis-taylor.biz,001-235-524-7052x321,South Tina,4.0,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
84,8,Lee-Walker,Seafood,emily33@novak.com,374.858.8175x299,Lake Andre,3.8,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
85,8,"Scott, Mueller and Smith",Dairy,eware@garner-wilson.biz,+1-405-908-0674x680,Kevinburgh,3.9,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
86,8,"Miranda, Logan and Huffman",Packaging,zimmermanconnie@beck.com,871.601.7161x71402,Greenfurt,4.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
87,8,Allen Ltd,Vegetables,cookeandrew@herrera.com,+1-330-962-2840x881,West Maryville,4.5,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
88,8,Rivera-Erickson,Dairy,judithyoung@campbell-carter.com,+1-897-691-5815x195,East Kellihaven,4.2,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
89,8,Kent-Williams,Cleaning,chungmichael@smith.net,001-678-774-7211,West Hannah,4.9,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
90,8,Greene-French,Cleaning,hannahsmith@evans-deleon.com,326.996.8523,North Christopher,4.5,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
91,8,Rogers-Kim,Packaging,troy80@pruitt-holland.org,(912)456-3473x74369,Morrisberg,4.2,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
92,9,Garner-Jackson,Vegetables,grantsteven@good-davis.net,(420)525-2925x12485,Port Thomasport,4.2,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
93,9,"Willis, Rodriguez and Gay",Cleaning,dean01@kelley.com,001-723-862-1057x145,Port Daniellehaven,3.7,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
94,9,"Paul, Smith and Hicks",Seafood,hallmargaret@charles.net,233-870-1493x96166,Christinestad,3.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
95,9,Larson-Smith,Vegetables,james28@costa.biz,5567573419,Monicaville,4.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
96,9,Parker Inc,Beverages,amiller@blackwell.org,(871)839-7396x269,Leslieburgh,4.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
97,9,Montgomery-Mcguire,Meat,cchang@williams.net,(281)874-8670x16058,Clarkport,4.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
98,9,Grimes LLC,Vegetables,lsmith@martinez.com,(435)950-1416x831,Jennastad,3.9,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
99,9,White-Gilbert,Vegetables,ylopez@long-wilkins.com,+1-971-388-4386x85244,Marytown,4.1,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
100,9,King Group,Seafood,nathanielboyd@gonzalez.com,559-369-4437,New Tracy,4.2,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
101,9,Kerr and Sons,Vegetables,ydunn@rodriguez.net,(866)201-9138x127,Noahstad,3.6,Active,2026-06-18 12:13:37.966319,2026-06-18 12:13:37.966319
